"Bore ID","Depth From (m)","Depth To (m)","Top Elevation (m AHD)","Bottom Elevation (m AHD)","Major Lithology","Minor Lithology","Description","Source"
"GW403746.3.3",104.0,105.0,1.26,0.26,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",112.0,113.0,-6.74,-7.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",118.0,119.0,-12.74,-13.74,"SDCY","NA","Sandy clay with lignite (upper renmark)","NSW Office of Water"
"GW403746.3.3",126.0,127.0,-20.74,-21.74,"CLAY","NA","Grey clay with sand and gravel and lignite.","NSW Office of Water"
"GW403746.3.3",130.0,131.0,-24.74,-25.74,"LGNT","NA","Lignite with some sand and gravel with clay.","NSW Office of Water"
"GW403746.3.3",138.0,139.0,-32.74,-33.74,"SAND","NA","Grey to dark grey fine sand with some lignite and clay.","NSW Office of Water"
"GW403746.3.3",141.0,142.0,-35.74,-36.74,"CLAY","NA","Grey clay with lignite.","NSW Office of Water"
"GW403746.3.3",153.0,154.0,-47.74,-48.74,"SAND","NA","Coarse sand with dark brown/black lignite.","NSW Office of Water"
"GW403746.3.3",161.0,162.0,-55.74,-56.74,"SAND","NA","Coarse sand with lignite and dark grey clay.","NSW Office of Water"
"GW403746.3.3",163.0,164.0,-57.74,-58.74,"CLAY","NA","Dark grey clay with lignite and some sand and gravel and lignite.","NSW Office of Water"
"GW403746.3.3",170.0,171.0,-64.74,-65.74,"CLAY","NA","Dark grey/black clay with some coarse sand and gravel.","NSW Office of Water"
"GW403746.3.3",172.0,173.0,-66.74,-67.74,"CLAY","NA","Dark grey/black clay with some coarse sand and gravel.","NSW Office of Water"
"GW403746.3.3",175.0,176.0,-69.74,-70.74,"SAND","NA","Grey/brown fine to medium sand with mica.","NSW Office of Water"
