latitude,longitude,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,vp,vp_source,vp_deficit,vp_deficit_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,radiation,radiation_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,mslp,mslp_source,metadata
 -32.5500, 150.0000,1990-02-17,    0.0,25, 28.0,25, 13.7,25, 15.8,25, 14.8,26,  3.6,25,  5.7,26,  3.6,25, 4.7,26, 19.6,25, 41.8,26,100.0,26,  4.5,26,  5.6,26, 3.1,26, 6.2,26, 4.6,26,1014.9,25,""
 -32.5500, 150.0000,1990-02-18,    6.9,25, 28.0,25, 14.8,25, 18.8,25, 12.3,26,  4.6,25,  5.9,26,  4.6,25, 5.7,26, 23.3,25, 49.7,26,100.0,26,  4.7,26,  5.5,26, 5.0,26, 6.2,26, 5.6,26,1016.5,25,""
 -32.5500, 150.0000,1990-02-19,    0.0,25, 27.3,25, 16.4,25, 19.1,25, 11.8,26,  5.9,25,  5.5,26,  5.9,25, 5.3,26, 21.2,25, 52.6,26,100.0,26,  4.4,26,  5.2,26, 4.4,26, 6.0,26, 5.2,26,1021.2,25,""
 -32.5500, 150.0000,1990-02-20,    0.0,25, 27.9,25, 14.8,25, 16.7,25, 14.3,26,  6.0,25,  6.0,26,  6.0,25, 5.4,26, 22.6,25, 44.4,26, 99.3,26,  4.8,26,  5.9,26, 4.0,26, 6.7,26, 5.3,26,1021.1,25,""
 -32.5500, 150.0000,1990-02-21,    0.0,25, 28.2,25, 15.3,25, 18.0,25, 13.6,26,  5.7,25,  5.8,26,  5.7,25, 5.3,26, 21.7,25, 47.1,26,100.0,26,  4.6,26,  5.6,26, 4.1,26, 6.3,26, 5.2,26,1021.4,25,""
 -32.5500, 150.0000,1990-02-22,    0.3,25, 29.8,25, 16.8,25, 19.8,25, 14.9,26,  5.2,25,  6.0,26,  5.2,25, 5.6,26, 21.8,25, 47.2,26,100.0,26,  4.8,26,  5.8,26, 4.3,26, 6.6,26, 5.5,26,1019.6,25,""
 -32.5500, 150.0000,1990-02-23,    4.2,25, 28.2,25, 16.8,25, 19.8,25, 12.5,26,  4.3,25,  5.0,26,  4.3,25, 4.4,26, 17.2,25, 51.8,26,100.0,26,  3.9,26,  4.8,26, 3.4,26, 5.4,26, 4.4,26,1017.9,25,""
 -32.5500, 150.0000,1990-02-24,   23.1,25, 26.8,25, 17.3,25, 18.8,25, 11.8,26,  5.5,25,  5.1,26,  5.5,25, 4.6,26, 18.3,25, 53.4,26, 95.3,26,  4.0,26,  4.9,26, 3.4,26, 5.6,26, 4.5,26,1020.2,25,""
 -32.5500, 150.0000,1990-02-25,   12.6,25, 26.2,25, 15.7,25, 18.7,25, 10.4,26,  6.0,25,  5.6,26,  6.0,25, 5.6,26, 23.2,25, 55.0,26,100.0,26,  4.4,26,  5.1,26, 5.0,26, 6.0,26, 5.5,26,1022.0,25,""
 -32.5500, 150.0000,1990-02-26,    0.6,25, 25.7,25, 15.4,25, 16.9,25, 11.4,26,  6.9,25,  5.8,26,  6.9,25, 5.6,26, 23.6,25, 51.2,26, 96.6,26,  4.5,26,  5.4,26, 4.6,26, 6.4,26, 5.5,26,1021.3,25,""
